Device,VLAN,Name
n9k07-leaf-eat1,1,default
n9k07-leaf-eat1,12,temp-eat1-dmz-prod-protable
n9k07-leaf-eat1,14,temp-eat1-dmz-stage-new
n9k07-leaf-eat1,16,eat1-wifi-aruba-mgmt
n9k07-leaf-eat1,28,eat1-pan500-demo
n9k07-leaf-eat1,30,eat1-oldstage-inside-fw
n9k07-leaf-eat1,40,eat1-dmz-local-1
n9k07-leaf-eat1,42,eat1-dmz-local-2
n9k07-leaf-eat1,45,eat1-dmz-devtest
n9k07-leaf-eat1,96,L3VNI-96
n9k07-leaf-eat1,97,L3VNI-97
n9k07-leaf-eat1,98,L3VNI-98
n9k07-leaf-eat1,99,L3VNI
n9k07-leaf-eat1,141,eat1-dmz-csp
n9k07-leaf-eat1,172,eat1-oldnim-core-to-firewall
n9k07-leaf-eat1,618,eat1-wifi-corp-users
n9k07-leaf-eat1,1000,eat1-sap-prod01
n9k07-leaf-eat1,1005,sjc05-sap-esxi-mgmt
n9k07-leaf-eat1,1007,sjc05-sap-vmotion
n9k07-leaf-eat1,1013,eat1-dr-vsanprod1_2
n9k07-leaf-eat1,1021,eat1-dr-vsan-prod01-l2-vsandata
n9k07-leaf-eat1,1022,eat1-dr-vsan-prod01-vmdata
n9k07-leaf-eat1,1023,eat1-monitoring-tools
n9k07-leaf-eat1,1026,sjc05-wlan-mgmt
n9k07-leaf-eat1,1034,sjc05-hadoop-01/02-cluster
n9k07-leaf-eat1,1046,sjc05-vgrid-rackheartbeat-l2
n9k07-leaf-eat1,1063,sjc05-loadbalancer-dc
n9k07-leaf-eat1,1073,sjc05-vgrid-prod1
n9k07-leaf-eat1,1074,sjc05-vgrid-prod4
n9k07-leaf-eat1,1075,sjc05-vgrid-prod3
n9k07-leaf-eat1,1101,sjc05-hadoop-3
n9k07-leaf-eat1,1505,sjc05-mgmt
n9k07-leaf-eat1,1509,sjc05-prod-greemplum-server
n9k07-leaf-eat1,1522,sjc05-ebiz-prod-server
n9k07-leaf-eat1,1524,VLAN1524
n9k07-leaf-eat1,1526,sjc05-tier2-prod-server
n9k07-leaf-eat1,1531,sjc05-tier2-prod-server-2
n9k07-leaf-eat1,1532,VLAN1532
n9k07-leaf-eat1,1535,sjc05-virtual-mgmt
n9k07-leaf-eat1,1537,VLAN1537
n9k07-leaf-eat1,1542,sjc05-load-balancers
n9k07-leaf-eat1,1600,sjc05-sap-stage-vm-network
n9k07-leaf-eat1,1602,sjc05-sap-stage2-vm-network
n9k07-leaf-eat1,1605,eat1-sap-esxi-mgm
n9k07-leaf-eat1,1608,eat1-sap-storage-repli
n9k07-leaf-eat1,1609,eat1-sap-dr-vxlan-overlay
n9k07-leaf-eat1,1610,eat1-sap-prod-lan
n9k07-leaf-eat1,1900,sjc05-stage-greemplum-esx
n9k07-leaf-eat1,1901,VLAN1901
n9k07-leaf-eat1,1902,sjc05-tier2-staging-server
n9k07-leaf-eat1,1903,VLAN1903
n9k07-leaf-eat1,1904,sjc05-staging-vips
n9k07-leaf-eat1,1905,sjc05-tier2-staging-mgmt
n9k07-leaf-eat1,1906,VLAN1906
n9k07-leaf-eat1,1909,sjc05-staging-environment
n9k07-leaf-eat1,2104,sjc05-sfb-edgeserver-internal
n9k07-leaf-eat1,2107,sjc05-sap-dmz
n9k07-leaf-eat1,2112,sjc05-DMZ_Hitachi-ONLY
n9k07-leaf-eat1,2201,eat1-dmz-prod-protable
n9k07-leaf-eat1,2202,eat1-dmz-stage-new
n9k07-leaf-eat1,2214,sjc05-dmz-stage-tier1-vplex
n9k07-leaf-eat1,2215,sjc05-dmz-tier1-prod
n9k07-leaf-eat1,2216,sjc05-dmz-tier2-staging
n9k07-leaf-eat1,2217,sjc05-dmz-tier2-prod
n9k07-leaf-eat1,2280,sjc05-PA-Wlan-Guest
n9k07-leaf-eat1,2900,eat1-exchange-test
n9k07-leaf-eat1,3001,eat1-wifi-aps
n9k07-leaf-eat1,3087,eat1-tkg-avi-ingress-pool
n9k07-leaf-eat1,3155,eat1-data-domain1
n9k07-leaf-eat1,3156,eat1-load-test1
n9k07-leaf-eat1,3157,eat1-load-test2
n9k07-leaf-eat1,3161,eat1-qa-greemplum
n9k07-leaf-eat1,3162,eat1-mgmt1
n9k07-leaf-eat1,3163,eat1-hadoop1
n9k07-leaf-eat1,3164,eat1-hadoop2
n9k07-leaf-eat1,3166,eat1-dr-vxlan-backup
n9k07-leaf-eat1,3176,eat1-vmotion
n9k07-leaf-eat1,3182,eat1-nsx-poc
n9k07-leaf-eat1,3212,eat1-esxi-servers
n9k07-leaf-eat1,3250,eat1-dr-vsan-vmotion
n9k07-leaf-eat1,3251,eat1-dr-vsan-vm
n9k07-leaf-eat1,3338,eat1-recovery-point2
n9k07-leaf-eat1,3490,eat1-corp-inet-gw
n9k07-leaf-eat1,3498,eat1-otv-site-vlan
n9k07-leaf-eat1,3499,eat1-pan-gw
n9k07-leaf-eat1,3800,eat1-pan-gp2
n9k07-leaf-eat1,3801,eat1_av_floor_1
n9k07-leaf-eat1,3836,eat1-vtep-nsx-splunk
n9k07-leaf-eat1,3837,eat1-oldstage-servers1
n9k07-leaf-eat1,3838,eat1-vcf-vsan-vmotion
n9k07-leaf-eat1,3839,eat1-vcf-nsxmanager
n9k07-leaf-eat1,3840,eat1-vcf-vms
n9k07-leaf-eat1,3854,eat1-ai-ml-ingress
n9k07-leaf-eat1,3860,eat1-esxnetwork
n9k07-leaf-eat1,3861,eat1-labmanager
n9k07-leaf-eat1,3862,eat1-devtest-generalserver1
n9k07-leaf-eat1,3863,eat1-devtest-performancetest
n9k07-leaf-eat1,3864,eat1-devtest-cloudtest
n9k07-leaf-eat1,3866,eat1-dmz-oc-transit
n9k07-leaf-eat1,3867,eat1-dmz-oldprod-internal
n9k07-leaf-eat1,3870,eat1-oldstage-esx
n9k07-leaf-eat1,3871,eat1-oldstage-servers2
n9k07-leaf-eat1,3875,eat1-vgrid-prod3
n9k07-leaf-eat1,3878,eat1-vgrid-prod6
n9k07-leaf-eat1,3882,eat1-oldprod-esx
n9k07-leaf-eat1,3883,eat1-oldprod-servers
n9k07-leaf-eat1,3889,eat1-g10-bc1-1
n9k07-leaf-eat1,3890,eat1-gss-lab-interswitch
n9k07-leaf-eat1,3891,eat1-g10-bc1-2
n9k07-leaf-eat1,3893,eat1-security-mgmt
n9k07-leaf-eat1,3895,eat1-esx-network
n9k07-leaf-eat1,3896,eat1-server-network
n9k07-leaf-eat1,3899,eat1-pod3-lt
n9k07-leaf-eat1,3901,eat1-netinfra01-netinfra01
n9k07-leaf-eat1,3902,eat1-core-infra-cgpoc
n9k07-leaf-eat1,3904,eat1-pks-nonprod-esximgmt
n9k07-leaf-eat1,3905,eat1-pks-nonprod-vmotion01
n9k07-leaf-eat1,3906,eat1-pks-nonprod-vsan
n9k07-leaf-eat1,3911,eat1-vtep-vmotion
n9k07-leaf-eat1,3916,eat1-nsx-v-ip-pool
n9k07-leaf-eat1,3917,eat1-dr-isilon
n9k07-leaf-eat1,3918,eat1-vgrid-prod1
n9k07-leaf-eat1,3919,eat1-vgrid-prod2
n9k07-leaf-eat1,3920,eat1-vgrid-stage1
n9k07-leaf-eat1,3924,eat1-decc
n9k07-leaf-eat1,3925,eat1-dcmetro-esxi-mgmt
n9k07-leaf-eat1,3926,eat1-dcmetro-vms
n9k07-leaf-eat1,3927,eat1-dcmetro-vmotion
n9k07-leaf-eat1,3928,eat1-vgrid-decc-nsx-edge
n9k07-leaf-eat1,3929,eat1-transport-vlan-ce-to-f5
n9k07-leaf-eat1,3930,eat1-new-domain-controller
n9k07-leaf-eat1,3932,eat1-aws-rds-poc-02
n9k07-leaf-eat1,3933,eat1-vc-dev1
n9k07-leaf-eat1,3934,eat1-wcp
n9k01-leaf-eat1,1,default
n9k01-leaf-eat1,12,temp-eat1-dmz-prod-protable
n9k01-leaf-eat1,14,temp-eat1-dmz-stage-new
n9k01-leaf-eat1,16,eat1-wifi-aruba-mgmt
n9k01-leaf-eat1,28,eat1-pan500-demo
n9k01-leaf-eat1,30,eat1-oldstage-inside-fw
n9k01-leaf-eat1,40,eat1-dmz-local-1
n9k01-leaf-eat1,42,eat1-dmz-local-2
n9k01-leaf-eat1,45,eat1-dmz-devtest
n9k01-leaf-eat1,96,L3VNI-96
n9k01-leaf-eat1,97,L3VNI-97
n9k01-leaf-eat1,98,L3VNI-98
n9k01-leaf-eat1,99,L3VNI
n9k01-leaf-eat1,141,eat1-dmz-csp
n9k01-leaf-eat1,172,eat1-oldnim-core-to-firewall
n9k01-leaf-eat1,618,eat1-wifi-corp-users
n9k01-leaf-eat1,1000,eat1-sap-prod01
n9k01-leaf-eat1,1005,sjc05-sap-esxi-mgmt
n9k01-leaf-eat1,1007,sjc05-sap-vmotion
n9k01-leaf-eat1,1013,eat1-dr-vsanprod1_2
n9k01-leaf-eat1,1021,eat1-dr-vsan-prod01-l2-vsandata
n9k01-leaf-eat1,1022,eat1-dr-vsan-prod01-vmdata
n9k01-leaf-eat1,1023,eat1-monitoring-tools
n9k01-leaf-eat1,1026,sjc05-wlan-mgmt
n9k01-leaf-eat1,1034,sjc05-hadoop-01/02-cluster
n9k01-leaf-eat1,1046,sjc05-vgrid-rackheartbeat-l2
n9k01-leaf-eat1,1063,sjc05-loadbalancer-dc
n9k01-leaf-eat1,1073,sjc05-vgrid-prod1
n9k01-leaf-eat1,1074,sjc05-vgrid-prod4
n9k01-leaf-eat1,1075,sjc05-vgrid-prod3
n9k01-leaf-eat1,1101,sjc05-hadoop-3
n9k01-leaf-eat1,1505,sjc05-mgmt
n9k01-leaf-eat1,1509,sjc05-prod-greemplum-server
n9k01-leaf-eat1,1522,sjc05-ebiz-prod-server
n9k01-leaf-eat1,1524,VLAN1524
n9k01-leaf-eat1,1526,sjc05-tier2-prod-server
n9k01-leaf-eat1,1531,sjc05-tier2-prod-server-2
n9k01-leaf-eat1,1532,VLAN1532
n9k01-leaf-eat1,1535,sjc05-virtual-mgmt
n9k01-leaf-eat1,1537,VLAN1537
n9k01-leaf-eat1,1542,sjc05-load-balancers
n9k01-leaf-eat1,1600,sjc05-sap-stage-vm-network
n9k01-leaf-eat1,1602,sjc05-sap-stage2-vm-network
n9k01-leaf-eat1,1605,eat1-sap-esxi-mgm
n9k01-leaf-eat1,1608,eat1-sap-storage-repli
n9k01-leaf-eat1,1609,eat1-sap-dr-vxlan-overlay
n9k01-leaf-eat1,1610,eat1-sap-prod-lan
n9k01-leaf-eat1,1900,sjc05-stage-greemplum-esx
n9k01-leaf-eat1,1901,VLAN1901
n9k01-leaf-eat1,1902,sjc05-tier2-staging-server
n9k01-leaf-eat1,1903,VLAN1903
n9k01-leaf-eat1,1904,sjc05-staging-vips
n9k01-leaf-eat1,1905,sjc05-tier2-staging-mgmt
n9k01-leaf-eat1,1906,VLAN1906
n9k01-leaf-eat1,1909,sjc05-staging-environment
n9k01-leaf-eat1,2104,sjc05-sfb-edgeserver-internal
n9k01-leaf-eat1,2107,sjc05-sap-dmz
n9k01-leaf-eat1,2112,sjc05-DMZ_Hitachi-ONLY
n9k01-leaf-eat1,2201,eat1-dmz-prod-protable
n9k01-leaf-eat1,2202,eat1-dmz-stage-new
n9k01-leaf-eat1,2214,sjc05-dmz-stage-tier1-vplex
n9k01-leaf-eat1,2215,sjc05-dmz-tier1-prod
n9k01-leaf-eat1,2216,sjc05-dmz-tier2-staging
n9k01-leaf-eat1,2217,sjc05-dmz-tier2-prod
n9k01-leaf-eat1,2280,sjc05-PA-Wlan-Guest
n9k01-leaf-eat1,2900,eat1-exchange-test
n9k01-leaf-eat1,3000,wdc_L2_vLan_for_heartbeat_rac
n9k01-leaf-eat1,3001,eat1-wifi-aps
n9k01-leaf-eat1,3087,eat1-tkg-avi-ingress-pool
n9k01-leaf-eat1,3155,eat1-data-domain1
n9k01-leaf-eat1,3156,eat1-load-test1
n9k01-leaf-eat1,3157,eat1-load-test2
n9k01-leaf-eat1,3161,eat1-qa-greemplum
n9k01-leaf-eat1,3162,eat1-mgmt1
n9k01-leaf-eat1,3163,eat1-hadoop1
n9k01-leaf-eat1,3164,eat1-hadoop2
n9k01-leaf-eat1,3166,eat1-dr-vxlan-backup
n9k01-leaf-eat1,3176,eat1-vmotion
n9k01-leaf-eat1,3182,eat1-nsx-poc
n9k01-leaf-eat1,3212,eat1-esxi-servers
n9k01-leaf-eat1,3250,eat1-dr-vsan-vmotion
n9k01-leaf-eat1,3251,eat1-dr-vsan-vm
n9k01-leaf-eat1,3338,eat1-recovery-point2
n9k01-leaf-eat1,3490,eat1-corp-inet-gw
n9k01-leaf-eat1,3498,eat1-otv-site-vlan
n9k01-leaf-eat1,3499,eat1-pan-gw
n9k01-leaf-eat1,3800,eat1-pan-gp2
n9k01-leaf-eat1,3801,eat1_av_floor_1
n9k01-leaf-eat1,3837,eat1-oldstage-servers1
n9k01-leaf-eat1,3838,eat1-vcf-vsan-vmotion
n9k01-leaf-eat1,3839,eat1-vcf-nsxmanager
n9k01-leaf-eat1,3840,eat1-vcf-vms
n9k01-leaf-eat1,3854,eat1-ai-ml-ingress
n9k01-leaf-eat1,3860,eat1-esxnetwork
n9k01-leaf-eat1,3861,eat1-labmanager
n9k01-leaf-eat1,3862,eat1-devtest-generalserver1
n9k01-leaf-eat1,3863,eat1-devtest-performancetest
n9k01-leaf-eat1,3864,eat1-devtest-cloudtest
n9k01-leaf-eat1,3866,eat1-dmz-oc-transit
n9k01-leaf-eat1,3867,eat1-dmz-oldprod-internal
n9k01-leaf-eat1,3869,eat1-OldProd-CPP_DMZ_Production
n9k01-leaf-eat1,3870,eat1-oldstage-esx
n9k01-leaf-eat1,3871,eat1-oldstage-servers2
n9k01-leaf-eat1,3875,eat1-vgrid-prod3
n9k01-leaf-eat1,3878,eat1-vgrid-prod6
n9k01-leaf-eat1,3882,eat1-oldprod-esx
n9k01-leaf-eat1,3883,eat1-oldprod-servers
n9k01-leaf-eat1,3889,eat1-g10-bc1-1
n9k01-leaf-eat1,3890,eat1-gss-lab-interswitch
n9k01-leaf-eat1,3891,eat1-g10-bc1-2
n9k01-leaf-eat1,3893,eat1-security-mgmt
n9k01-leaf-eat1,3895,eat1-esx-network
n9k01-leaf-eat1,3896,eat1-server-network
n9k01-leaf-eat1,3899,eat1-pod3-lt
n9k01-leaf-eat1,3901,eat1-netinfra01-netinfra01
n9k01-leaf-eat1,3902,eat1-core-infra-cgpoc
n9k01-leaf-eat1,3904,eat1-pks-nonprod-esximgmt
n9k01-leaf-eat1,3905,eat1-pks-nonprod-vmotion01
n9k01-leaf-eat1,3906,eat1-pks-nonprod-vsan
n9k01-leaf-eat1,3911,eat1-vtep-vmotion
n9k01-leaf-eat1,3916,eat1-nsx-v-ip-pool
n9k01-leaf-eat1,3917,eat1-dr-isilon
n9k01-leaf-eat1,3918,eat1-vgrid-prod1
n9k01-leaf-eat1,3919,eat1-vgrid-prod2
n9k01-leaf-eat1,3920,eat1-vgrid-stage1
n9k01-leaf-eat1,3924,eat1-decc
n9k01-leaf-eat1,3925,eat1-dcmetro-esxi-mgmt
n9k01-leaf-eat1,3926,eat1-dcmetro-vms
n9k01-leaf-eat1,3927,eat1-dcmetro-vmotion
n9k01-leaf-eat1,3928,eat1-vgrid-decc-nsx-edge
n9k01-leaf-eat1,3929,eat1-transport-vlan-ce-to-f5
n9k01-leaf-eat1,3930,WDC-New-Domain-Controller
n9k01-leaf-eat1,3931,eat1-dcmetro-scripting
n9k01-leaf-eat1,3932,eat1-aws-rds-poc-02
n9k01-leaf-eat1,3933,eat1-vc-dev1
n9k01-leaf-eat1,3934,eat1-wcp
n9k01-leaf-eat1,4064,eat1-oldnim-dmz-1
n9k01-leaf-eat1,4068,eat1-oldnim-dmz-2
n9k08-leaf-eat1,1,default
n9k08-leaf-eat1,12,temp-eat1-dmz-prod-protable
n9k08-leaf-eat1,14,temp-eat1-dmz-stage-new
n9k08-leaf-eat1,16,eat1-wifi-aruba-mgmt
n9k08-leaf-eat1,28,eat1-pan500-demo
n9k08-leaf-eat1,30,eat1-oldstage-inside-fw
n9k08-leaf-eat1,40,eat1-dmz-local-1
n9k08-leaf-eat1,42,eat1-dmz-local-2
n9k08-leaf-eat1,45,eat1-dmz-devtest
n9k08-leaf-eat1,96,L3VNI-96
n9k08-leaf-eat1,97,L3VNI-97
n9k08-leaf-eat1,98,L3VNI-98
n9k08-leaf-eat1,99,L3VNI
n9k08-leaf-eat1,141,eat1-dmz-csp
n9k08-leaf-eat1,172,eat1-oldnim-core-to-firewall
n9k08-leaf-eat1,618,eat1-wifi-corp-users
n9k08-leaf-eat1,1000,eat1-sap-prod01
n9k08-leaf-eat1,1005,sjc05-sap-esxi-mgmt
n9k08-leaf-eat1,1007,sjc05-sap-vmotion
n9k08-leaf-eat1,1013,eat1-dr-vsanprod1_2
n9k08-leaf-eat1,1021,eat1-dr-vsan-prod01-l2-vsandata
n9k08-leaf-eat1,1022,eat1-dr-vsan-prod01-vmdata
n9k08-leaf-eat1,1023,eat1-monitoring-tools
n9k08-leaf-eat1,1026,sjc05-wlan-mgmt
n9k08-leaf-eat1,1034,sjc05-hadoop-01/02-cluster
n9k08-leaf-eat1,1046,sjc05-vgrid-rackheartbeat-l2
n9k08-leaf-eat1,1063,sjc05-loadbalancer-dc
n9k08-leaf-eat1,1073,sjc05-vgrid-prod1
n9k08-leaf-eat1,1074,sjc05-vgrid-prod4
n9k08-leaf-eat1,1075,sjc05-vgrid-prod3
n9k08-leaf-eat1,1101,sjc05-hadoop-3
n9k08-leaf-eat1,1505,sjc05-mgmt
n9k08-leaf-eat1,1509,sjc05-prod-greemplum-server
n9k08-leaf-eat1,1522,sjc05-ebiz-prod-server
n9k08-leaf-eat1,1524,VLAN1524
n9k08-leaf-eat1,1526,sjc05-tier2-prod-server
n9k08-leaf-eat1,1531,sjc05-tier2-prod-server-2
n9k08-leaf-eat1,1532,VLAN1532
n9k08-leaf-eat1,1535,sjc05-virtual-mgmt
n9k08-leaf-eat1,1537,VLAN1537
n9k08-leaf-eat1,1542,sjc05-load-balancers
n9k08-leaf-eat1,1600,sjc05-sap-stage-vm-network
n9k08-leaf-eat1,1602,sjc05-sap-stage2-vm-network
n9k08-leaf-eat1,1605,eat1-sap-esxi-mgm
n9k08-leaf-eat1,1608,eat1-sap-storage-repli
n9k08-leaf-eat1,1609,eat1-sap-dr-vxlan-overlay
n9k08-leaf-eat1,1610,eat1-sap-prod-lan
n9k08-leaf-eat1,1900,sjc05-stage-greemplum-esx
n9k08-leaf-eat1,1901,VLAN1901
n9k08-leaf-eat1,1902,sjc05-tier2-staging-server
n9k08-leaf-eat1,1903,VLAN1903
n9k08-leaf-eat1,1904,sjc05-staging-vips
n9k08-leaf-eat1,1905,sjc05-tier2-staging-mgmt
n9k08-leaf-eat1,1906,VLAN1906
n9k08-leaf-eat1,1909,sjc05-staging-environment
n9k08-leaf-eat1,2104,sjc05-sfb-edgeserver-internal
n9k08-leaf-eat1,2107,sjc05-sap-dmz
n9k08-leaf-eat1,2112,sjc05-DMZ_Hitachi-ONLY
n9k08-leaf-eat1,2201,eat1-dmz-prod-protable
n9k08-leaf-eat1,2202,eat1-dmz-stage-new
n9k08-leaf-eat1,2214,sjc05-dmz-stage-tier1-vplex
n9k08-leaf-eat1,2215,sjc05-dmz-tier1-prod
n9k08-leaf-eat1,2216,sjc05-dmz-tier2-staging
n9k08-leaf-eat1,2217,sjc05-dmz-tier2-prod
n9k08-leaf-eat1,2280,sjc05-PA-Wlan-Guest
n9k08-leaf-eat1,2900,eat1-exchange-test
n9k08-leaf-eat1,3001,eat1-wifi-aps
n9k08-leaf-eat1,3087,eat1-tkg-avi-ingress-pool
n9k08-leaf-eat1,3155,eat1-data-domain1
n9k08-leaf-eat1,3156,eat1-load-test1
n9k08-leaf-eat1,3157,eat1-load-test2
n9k08-leaf-eat1,3161,eat1-qa-greemplum
n9k08-leaf-eat1,3162,eat1-mgmt1
n9k08-leaf-eat1,3163,eat1-hadoop1
n9k08-leaf-eat1,3164,eat1-hadoop2
n9k08-leaf-eat1,3166,eat1-dr-vxlan-backup
n9k08-leaf-eat1,3176,eat1-vmotion
n9k08-leaf-eat1,3182,eat1-nsx-poc
n9k08-leaf-eat1,3212,eat1-esxi-servers
n9k08-leaf-eat1,3250,eat1-dr-vsan-vmotion
n9k08-leaf-eat1,3251,eat1-dr-vsan-vm
n9k08-leaf-eat1,3338,eat1-recovery-point2
n9k08-leaf-eat1,3490,eat1-corp-inet-gw
n9k08-leaf-eat1,3498,eat1-otv-site-vlan
n9k08-leaf-eat1,3499,eat1-pan-gw
n9k08-leaf-eat1,3800,eat1-pan-gp2
n9k08-leaf-eat1,3801,eat1_av_floor_1
n9k08-leaf-eat1,3836,eat1-vtep-nsx-splunk
n9k08-leaf-eat1,3837,eat1-oldstage-servers1
n9k08-leaf-eat1,3838,eat1-vcf-vsan-vmotion
n9k08-leaf-eat1,3839,eat1-vcf-nsxmanager
n9k08-leaf-eat1,3840,eat1-vcf-vms
n9k08-leaf-eat1,3854,eat1-ai-ml-ingress
n9k08-leaf-eat1,3860,eat1-esxnetwork
n9k08-leaf-eat1,3861,eat1-labmanager
n9k08-leaf-eat1,3862,eat1-devtest-generalserver1
n9k08-leaf-eat1,3863,eat1-devtest-performancetest
n9k08-leaf-eat1,3864,eat1-devtest-cloudtest
n9k08-leaf-eat1,3866,eat1-dmz-oc-transit
n9k08-leaf-eat1,3867,eat1-dmz-oldprod-internal
n9k08-leaf-eat1,3870,eat1-oldstage-esx
n9k08-leaf-eat1,3871,eat1-oldstage-servers2
n9k08-leaf-eat1,3875,eat1-vgrid-prod3
n9k08-leaf-eat1,3878,eat1-vgrid-prod6
n9k08-leaf-eat1,3882,eat1-oldprod-esx
n9k08-leaf-eat1,3883,eat1-oldprod-servers
n9k08-leaf-eat1,3889,eat1-g10-bc1-1
n9k08-leaf-eat1,3890,eat1-gss-lab-interswitch
n9k08-leaf-eat1,3891,eat1-g10-bc1-2
n9k08-leaf-eat1,3893,eat1-security-mgmt
n9k08-leaf-eat1,3895,eat1-esx-network
n9k08-leaf-eat1,3896,eat1-server-network
n9k08-leaf-eat1,3899,eat1-pod3-lt
n9k08-leaf-eat1,3901,eat1-netinfra01-netinfra01
n9k08-leaf-eat1,3902,eat1-core-infra-cgpoc
n9k08-leaf-eat1,3904,eat1-pks-nonprod-esximgmt
n9k08-leaf-eat1,3905,eat1-pks-nonprod-vmotion01
n9k08-leaf-eat1,3906,eat1-pks-nonprod-vsan
n9k08-leaf-eat1,3911,eat1-vtep-vmotion
n9k08-leaf-eat1,3916,eat1-nsx-v-ip-pool
n9k08-leaf-eat1,3917,eat1-dr-isilon
n9k08-leaf-eat1,3918,eat1-vgrid-prod1
n9k08-leaf-eat1,3919,eat1-vgrid-prod2
n9k08-leaf-eat1,3920,eat1-vgrid-stage1
n9k08-leaf-eat1,3924,eat1-decc
n9k08-leaf-eat1,3925,eat1-dcmetro-esxi-mgmt
n9k08-leaf-eat1,3926,eat1-dcmetro-vms
n9k08-leaf-eat1,3927,eat1-dcmetro-vmotion
n9k08-leaf-eat1,3928,eat1-vgrid-decc-nsx-edge
n9k08-leaf-eat1,3929,eat1-transport-vlan-ce-to-f5
n9k08-leaf-eat1,3930,eat1-new-domain-controller
n9k08-leaf-eat1,3932,eat1-aws-rds-poc-02
n9k08-leaf-eat1,3933,eat1-vc-dev1
n9k08-leaf-eat1,3934,eat1-wcp
n9k02-leaf-eat1,1,default
n9k02-leaf-eat1,12,temp-eat1-dmz-prod-protable
n9k02-leaf-eat1,14,temp-eat1-dmz-stage-new
n9k02-leaf-eat1,16,eat1-wifi-aruba-mgmt
n9k02-leaf-eat1,28,eat1-pan500-demo
n9k02-leaf-eat1,30,eat1-oldstage-inside-fw
n9k02-leaf-eat1,40,eat1-dmz-local-1
n9k02-leaf-eat1,42,eat1-dmz-local-2
n9k02-leaf-eat1,45,eat1-dmz-devtest
n9k02-leaf-eat1,96,L3VNI-96
n9k02-leaf-eat1,97,L3VNI-97
n9k02-leaf-eat1,98,L3VNI-98
n9k02-leaf-eat1,99,L3VNI
n9k02-leaf-eat1,141,eat1-dmz-csp
n9k02-leaf-eat1,172,eat1-oldnim-core-to-firewall
n9k02-leaf-eat1,618,eat1-wifi-corp-users
n9k02-leaf-eat1,1000,eat1-sap-prod01
n9k02-leaf-eat1,1005,sjc05-sap-esxi-mgmt
n9k02-leaf-eat1,1007,sjc05-sap-vmotion
n9k02-leaf-eat1,1013,eat1-dr-vsanprod1_2
n9k02-leaf-eat1,1021,eat1-dr-vsan-prod01-l2-vsandata
n9k02-leaf-eat1,1022,eat1-dr-vsan-prod01-vmdata
n9k02-leaf-eat1,1023,eat1-monitoring-tools
n9k02-leaf-eat1,1026,sjc05-wlan-mgmt
n9k02-leaf-eat1,1034,sjc05-hadoop-01/02-cluster
n9k02-leaf-eat1,1046,sjc05-vgrid-rackheartbeat-l2
n9k02-leaf-eat1,1063,sjc05-loadbalancer-dc
n9k02-leaf-eat1,1073,sjc05-vgrid-prod1
n9k02-leaf-eat1,1074,sjc05-vgrid-prod4
n9k02-leaf-eat1,1075,sjc05-vgrid-prod3
n9k02-leaf-eat1,1101,sjc05-hadoop-3
n9k02-leaf-eat1,1505,sjc05-mgmt
n9k02-leaf-eat1,1509,sjc05-prod-greemplum-server
n9k02-leaf-eat1,1522,sjc05-ebiz-prod-server
n9k02-leaf-eat1,1524,VLAN1524
n9k02-leaf-eat1,1526,sjc05-tier2-prod-server
n9k02-leaf-eat1,1531,sjc05-tier2-prod-server-2
n9k02-leaf-eat1,1532,VLAN1532
n9k02-leaf-eat1,1535,sjc05-virtual-mgmt
n9k02-leaf-eat1,1537,VLAN1537
n9k02-leaf-eat1,1542,sjc05-load-balancers
n9k02-leaf-eat1,1600,sjc05-sap-stage-vm-network
n9k02-leaf-eat1,1602,sjc05-sap-stage2-vm-network
n9k02-leaf-eat1,1605,eat1-sap-esxi-mgm
n9k02-leaf-eat1,1608,sjc05-dcmetro-vmotion
n9k02-leaf-eat1,1609,eat1-sap-dr-vxlan-overlay
n9k02-leaf-eat1,1610,eat1-sap-prod-lan
n9k02-leaf-eat1,1900,sjc05-stage-greemplum-esx
n9k02-leaf-eat1,1901,VLAN1901
n9k02-leaf-eat1,1902,sjc05-tier2-staging-server
n9k02-leaf-eat1,1903,VLAN1903
n9k02-leaf-eat1,1904,sjc05-staging-vips
n9k02-leaf-eat1,1905,sjc05-tier2-staging-mgmt
n9k02-leaf-eat1,1906,VLAN1906
n9k02-leaf-eat1,1909,sjc05-staging-environment
n9k02-leaf-eat1,2104,sjc05-sfb-edgeserver-internal
n9k02-leaf-eat1,2107,sjc05-sap-dmz
n9k02-leaf-eat1,2112,sjc05-DMZ_Hitachi-ONLY
n9k02-leaf-eat1,2201,eat1-dmz-prod-protable
n9k02-leaf-eat1,2202,eat1-dmz-stage-new
n9k02-leaf-eat1,2214,sjc05-dmz-stage-tier1-vplex
n9k02-leaf-eat1,2215,sjc05-dmz-tier1-prod
n9k02-leaf-eat1,2216,sjc05-dmz-tier2-staging
n9k02-leaf-eat1,2217,sjc05-dmz-tier2-prod
n9k02-leaf-eat1,2280,sjc05-PA-Wlan-Guest
n9k02-leaf-eat1,2900,eat1-exchange-test
n9k02-leaf-eat1,3000,wdc_L2_vLan_for_heartbeat_rac
n9k02-leaf-eat1,3001,eat1-wifi-aps
n9k02-leaf-eat1,3087,eat1-tkg-avi-ingress-pool
n9k02-leaf-eat1,3155,eat1-data-domain1
n9k02-leaf-eat1,3156,eat1-load-test1
n9k02-leaf-eat1,3157,eat1-load-test2
n9k02-leaf-eat1,3161,eat1-qa-greemplum
n9k02-leaf-eat1,3162,eat1-mgmt1
